date,rainfall_mm,anomaly_rf,anomaly_1mo,rainfall_change,anomaly_change
2020-03-21,62.072031333333335,72.2986212,64.8745546,124.78089914916777,47.30928630063402
2020-04-01,65.59432453333334,95.02850393333333,71.41406686666666,5.674525425283594,31.438888261029962
2020-04-11,46.07980826666667,66.98236506666666,75.82672746666667,-29.750312097123434,-29.513396197778995
2020-04-21,109.23864780000001,139.59332073333334,102.99765866666667,137.06402415528572,108.403093253572
2020-05-01,87.2182008,115.72586693333332,109.4112534,-20.158110195867884,-17.097848002050387
2020-05-11,81.87429386666666,107.2005534,120.97437266666665,-6.12705477104194,-7.366817600290288
2020-05-21,76.06958553333334,95.69255386666667,106.19261920000001,-7.089781247806992,-10.735018774010674
2020-06-01,105.10218026666666,159.68117900000001,118.90669133333334,38.165837936124134,66.86896999581803
2020-06-11,110.36060933333333,202.47432799999999,146.9598406,5.003158881504555,26.799118886766205
2020-06-21,78.77245293333334,132.49692193333334,166.4613,-28.622673063167923,-34.561125233944054
2020-07-01,92.08906706666667,141.7428964,160.21295066666667,16.905166257299918,6.978256046822606
2020-07-11,92.59479593333334,145.44235,142.370679,0.5491736237272837,2.6099746046956085
2020-07-21,123.46512639999999,169.6447093333333,155.19953533333333,33.339163562596696,16.640517245034413
2020-08-01,47.06727933333333,70.8744984,130.54185346666665,-61.87807787856981,-58.22180445324743
2020-08-11,75.60974486666667,103.52435726666666,115.97867653333334,60.641842778278864,46.067146299079376
2020-08-21,62.48755106666667,64.12646360000001,77.16981713333332,-17.355162119830215,-38.05664165118387
2020-09-01,81.2378444,95.8900232,85.71445573333334,30.006446105287488,49.53268559783795
2020-09-11,104.67969346666668,122.81727773333334,92.74241406666667,28.855823587887652,28.08139328235488
2020-09-21,86.96482246666666,108.50363226666667,109.32191146666668,-16.92292976157882,-11.654423327754525
2020-10-01,109.85776106666667,106.56933606666666,112.9203238,26.324366508969522,-1.7827017949464952
2020-10-11,85.44689646666667,83.70677040000001,98.78825686666667,-22.220427908763206,-21.453230835898708
2020-10-21,82.82711613333335,68.38691653333333,84.23162306666667,-3.065974823737827,-18.301809750226216
2020-11-01,120.55286293333333,110.09913153333333,86.95881286666666,45.54757977963384,60.99443740772919
2020-11-11,112.69024833333333,101.57111933333334,92.87930033333333,-6.522130133357418,-7.745757919460128
2020-11-21,161.18059053333334,151.60004693333335,120.95524693333333,43.02975893403613,49.25507164671132
2020-12-01,87.9389454,75.54949353333333,109.455373,-45.440735072990336,-50.16525716079989
2020-12-11,151.53006633333334,139.06255566666667,121.95222493333334,72.31280821492925,84.06815077497589
2020-12-21,92.78081733333333,88.99349506666667,100.987426,-38.77068783878467,-36.0047033221622
2021-01-01,186.75625066666666,236.195821,150.88524700000002,101.28756787699777,165.40796136061556
2021-01-11,85.06402350666667,112.64673926666666,144.05647966666666,-54.45184661663943,-52.30790333641565
2021-01-21,46.25882446666667,66.78746766666667,147.52867933333334,-45.61881444152327,-40.71069602062616
2021-02-01,41.16968582,78.96943793333334,85.03885233333334,-11.001443952242706,18.239904419593135
2021-02-11,23.0151356,44.27258586666667,59.363608066666664,-44.096887936853335,-43.93706346999462
2021-02-21,7.924954026666668,26.6623109,45.53205233333333,-65.56633788998111,-39.77692881934335
2021-03-01,45.26459133333333,82.8069312,50.5392402,471.16534911145936,210.5767219899907
2021-03-11,58.77025913333333,100.80112686666666,71.80906926666667,29.837158366332783,21.730301323697244
2021-03-21,143.86304926666665,166.50111426666666,125.374319,144.78886325867904,65.17783029043294
2021-04-01,65.347694,98.939809,128.0253034,-54.576457031109804,-40.577088966780785
2021-04-11,75.55776,111.89220879999999,130.82127093333332,15.624217742098123,13.091191433369342
