stop_id,stop_name,stop_lon,stop_lat,source,nearest_poi_id,nearest_poi_type,nearest_poi_name,distance_m
1000607,KJ626 KG SENTOSA,101.847881,2.945764,gtfs_rapid_bus_kl,5626243148,school,Sekolah Kebangsaan Bandar Rinching,2199.424463896986
1001314,KJ630 DEWAN KOMUNITI SEMENYIH,101.846218,2.949037,gtfs_rapid_bus_kl,5626243148,school,Sekolah Kebangsaan Bandar Rinching,2581.937463362778
1003316,KJ631 SK SEMENYIH,101.845552,2.950391,gtfs_rapid_bus_kl,5626243148,school,Sekolah Kebangsaan Bandar Rinching,2742.045035239869
1002747,KJ632 TAMAN SEMENYIH,101.844579,2.952695,gtfs_rapid_bus_kl,405211749,marketplace,Pasar Malam,2776.956677562877
1001287,KJ633 TAMAN DESA SEMENYIH,101.843763,2.955701,gtfs_rapid_bus_kl,405211749,marketplace,Pasar Malam,2485.7654301050316
1004012,KJ634 TAMAN AIN ANN/VISTA VALLEY,101.840598,2.958225,gtfs_rapid_bus_kl,405211749,marketplace,Pasar Malam,2034.9941254271741
1002190,KJ489 BANDAR TEKNOLOGI KAJANG,101.830574,2.973824,gtfs_rapid_bus_kl,405211749,marketplace,Pasar Malam,618.9557141224901
1001552,KJ498 KLINIK KESIHATAN KAJANG (OPP),101.825625,2.978002,gtfs_rapid_bus_kl,405211749,marketplace,Pasar Malam,903.6460788104736
1007637,KJ499 TAMAN MAJU KAJANG,101.820014,2.979664,gtfs_rapid_bus_kl,405211749,marketplace,Pasar Malam,1306.6877675798357
1000954,KJ500 KAJANG PRIMA,101.815753,2.983647,gtfs_rapid_bus_kl,405211749,marketplace,Pasar Malam,1945.5230604425005
1003364,KJ501 KOLEJ VOKASIONAL KAJANG (OPP),101.812394,2.985768,gtfs_rapid_bus_kl,821392497,school,SK Jalan Semenyih 1 & 2 (Integ),2154.892802067583
1003978,KJ502 TAMAN DAMAI INDAH,101.807557,2.987309,gtfs_rapid_bus_kl,821392497,school,SK Jalan Semenyih 1 & 2 (Integ),1593.0148176604825
1004094,KJ503 TAMAN ZAMRUD KAJANG,101.803731,2.988045,gtfs_rapid_bus_kl,821392497,school,SK Jalan Semenyih 1 & 2 (Integ),1176.8740181330966
1001363,KJ504 TAMAN LEMBAH MEWAH,101.800207,2.990019,gtfs_rapid_bus_kl,821392497,school,SK Jalan Semenyih 1 & 2 (Integ),727.1457514508469
1002026,KJ505 KOMPLEKS METRO POINT,101.794467,2.991966,gtfs_rapid_bus_kl,4753547098,school,Amsa Driving Academy,140.2738646720184
1007638,KJ472 KOMERSIAL BANDAR KAJANG,101.790179,2.993154,gtfs_rapid_bus_kl,276691335,hospital,Pusat Perubatan Kajang Plaza (KPMC),361.72508022184337
1000923,KJ473 HOSPITAL KAJANG,101.793436,2.992596,gtfs_rapid_bus_kl,821392497,school,SK Jalan Semenyih 1 & 2 (Integ),151.16443120413916
1003366,KJ479 KOMPLEKS METRO POINT (OPP),101.795188,2.991985,gtfs_rapid_bus_kl,821392497,school,SK Jalan Semenyih 1 & 2 (Integ),164.4801376915851
1003543,KJ480 TAMAN SG JELOK,101.799421,2.991094,gtfs_rapid_bus_kl,821392497,school,SK Jalan Semenyih 1 & 2 (Integ),593.8672762361106
1004093,KJ481 TAMAN ZAMRUD KAJANG,101.803434,2.988403,gtfs_rapid_bus_kl,821392497,school,SK Jalan Semenyih 1 & 2 (Integ),1128.4214487605113
1000295,KJ482 TAMAN RESTU 7,101.807948,2.987562,gtfs_rapid_bus_kl,821392497,school,SK Jalan Semenyih 1 & 2 (Integ),1621.204774740691
1003228,KJ483 KOLEJ VOKASIONAL KAJANG,101.813125,2.985496,gtfs_rapid_bus_kl,821392497,school,SK Jalan Semenyih 1 & 2 (Integ),2241.647196595272
