from_stop_id,to_stop_id,route_id,travel_time_s,operator
46300,45800,ETS,360,ktmb
45800,45600,ETS,180,ktmb
45600,44400,ETS,720,ktmb
44400,44000,ETS,360,ktmb
44000,43500,ETS,240,ktmb
43500,43100,ETS,240,ktmb
43100,42400,ETS,540,ktmb
42400,41400,ETS,720,ktmb
41400,40500,ETS,720,ktmb
40500,1000,ETS,960,ktmb
23100,22900,KC05_KB18,300,ktmb
22900,22700,KC05_KB18,360,ktmb
22700,22400,KC05_KB18,480,ktmb
22400,22000,KC05_KB18,360,ktmb
22000,21500,KC05_KB18,600,ktmb
21500,21300,KC05_KB18,360,ktmb
21300,20900,KC05_KB18,780,ktmb
20900,20500,KC05_KB18,360,ktmb
20500,20402,KC05_KB18,180,ktmb
20402,20400,KC05_KB18,240,ktmb
20400,19900,KC05_KB18,1020,ktmb
19900,19600,KC05_KB18,420,ktmb
19600,19400,KC05_KB18,360,ktmb
19400,19300,KC05_KB18,300,ktmb
19300,19205,KC05_KB18,180,ktmb
19205,19100,KC05_KB18,720,ktmb
19100,19000,KC05_KB18,240,ktmb
19000,18900,KC05_KB18,240,ktmb
18900,18800,KC05_KB18,180,ktmb
18800,50000,KC05_KB18,360,ktmb
50000,50300,KC05_KB18,240,ktmb
50300,50400,KC05_KB18,120,ktmb
50400,50500,KC05_KB18,120,ktmb
50500,50600,KC05_KB18,240,ktmb
50000,18800,KC05_KB18,360,ktmb
18800,18900,KC05_KB18,180,ktmb
18900,19000,KC05_KB18,240,ktmb
19000,19100,KC05_KB18,300,ktmb
19100,19205,KC05_KB18,420,ktmb
19205,19300,KC05_KB18,120,ktmb
19300,19400,KC05_KB18,360,ktmb
19400,19600,KC05_KB18,420,ktmb
19600,19900,KC05_KB18,480,ktmb
19900,20400,KC05_KB18,660,ktmb
25100,23900,KC05_KB18,1020,ktmb
23900,23100,KC05_KB18,780,ktmb
50600,50500,KC05_KB18,240,ktmb
50500,50400,KC05_KB18,180,ktmb
50400,50300,KC05_KB18,120,ktmb
50300,50000,KC05_KB18,240,ktmb
20400,20402,KC05_KB18,180,ktmb
20402,20500,KC05_KB18,180,ktmb
20500,20900,KC05_KB18,480,ktmb
20900,21300,KC05_KB18,780,ktmb
21300,21500,KC05_KB18,360,ktmb
21500,22000,KC05_KB18,420,ktmb
22000,22400,KC05_KB18,360,ktmb
22400,22700,KC05_KB18,480,ktmb
22700,22900,KC05_KB18,360,ktmb
22900,23100,KC05_KB18,300,ktmb
23100,23900,KC05_KB18,780,ktmb
23900,25100,KC05_KB18,1020,ktmb
19100,19000,KA15_KD19,240,ktmb
19000,18900,KA15_KD19,240,ktmb
18900,18800,KA15_KD19,180,ktmb
18800,18700,KA15_KD19,240,ktmb
18700,18600,KA15_KD19,300,ktmb
18600,18400,KA15_KD19,180,ktmb
18400,18500,KA15_KD19,420,ktmb
18500,18100,KA15_KD19,480,ktmb
18100,17800,KA15_KD19,480,ktmb
17800,17300,KA15_KD19,480,ktmb
17300,16500,KA15_KD19,480,ktmb
16500,16300,KA15_KD19,240,ktmb
