year,month,total_ridership,rainfall_mm,rainfall_anomaly,is_holiday,date,expected_ridership,mismatch
2024,12,1216154.4516129033,106.43690725137152,88.66103822032038,10,2024-12-01,997550.8903225807,218603.56129032257
2025,1,1173438.3870967743,126.9955008264209,144.06332320737326,16,2025-01-01,852213.4838709678,321224.90322580654
2025,2,1239609.1785714286,79.29136682944606,136.20138666083577,16,2025-02-01,844706.6767676767,394902.5018037519
2025,3,1151056.8064516129,87.4346558457099,116.87949029668641,2,2025-03-01,879585.1773399014,271471.6291117114
2025,4,1219336.6666666667,97.15343348979592,136.51215019501132,2,2025-04-01,854279.42,365057.2466666667
2025,5,1239899.1935483871,84.11659684222076,109.89345244217688,5,2025-05-01,888150.4451612904,351748.7483870968
2025,6,1214327.6,61.24445438095238,101.15515267573696,10,2025-06-01,903415.76,310911.8400000001
2025,7,1300132.5161290322,40.991017841781876,67.27862746477948,0,2025-07-01,958000.7677419354,342131.7483870968
2025,8,1291509.4193548388,82.74966202764978,109.78993799517227,1,2025-08-01,967344.3161290323,324165.1032258065
2025,9,1198382.8,97.087892845805,121.83818577324264,11,2025-09-01,934880.3133333334,263502.4866666667
2025,10,1253673.7741935484,98.14700565108625,96.02819690695634,1,2025-10-01,985788.6387096774,267885.135483871
2025,11,1250537.1666666667,197.68206402494332,169.5259913197279,0,2025-11-01,986604.4133333333,263932.7533333334
2025,12,1272315.0322580645,109.47833477046302,88.96390471209129,13,2025-12-01,997550.8903225807,274764.1419354838
2026,1,1274737.6129032257,53.755683861005046,59.80269937853852,3,2026-01-01,852213.4838709678,422524.12903225794
2026,2,1196840.0,85.16322955660836,144.97424459961127,5,2026-02-01,844706.6767676767,352133.3232323233
2026,3,1201080.0322580645,45.52180748369542,64.5750588805135,10,2026-03-01,879585.1773399014,321494.85491816304
