date,total_ridership,service_frequency,is_holiday,ridership_per_service
2023-04-24,553558,11,1,50323.454545454544
2023-04-25,733214,11,1,66655.81818181818
2023-04-26,792273,11,1,72024.81818181818
2023-04-27,824694,11,1,74972.18181818182
2023-04-28,833703,11,1,75791.18181818182
2023-04-29,624222,11,1,56747.454545454544
2023-04-30,617186,11,1,56107.818181818184
2023-05-01,597218,11,1,54292.545454545456
2023-05-02,956010,11,0,86910.0
2023-05-03,973725,11,0,88520.45454545454
2023-05-04,593541,11,1,53958.27272727273
2023-05-05,907123,11,0,82465.72727272728
2023-05-06,644434,11,0,58584.90909090909
2023-05-07,594872,11,0,54079.27272727273
2023-05-08,951572,11,0,86506.54545454546
2023-05-09,985792,11,0,89617.45454545454
2023-05-10,998967,11,0,90815.18181818182
2023-05-11,991644,11,0,90149.45454545454
2023-05-12,1006380,11,0,91489.09090909091
2023-05-13,686137,11,0,62376.09090909091
2023-05-14,616356,11,0,56032.36363636364
2023-05-15,966017,11,0,87819.72727272728
2023-05-16,996225,11,0,90565.90909090909
2023-05-17,1009742,11,0,91794.72727272728
2023-05-18,987532,11,0,89775.63636363637
2023-05-19,982049,11,0,89277.18181818182
2023-05-20,706463,11,0,64223.90909090909
2023-05-21,615808,11,0,55982.545454545456
2023-05-22,949730,11,0,86339.09090909091
2023-05-23,977576,11,0,88870.54545454546
2023-05-24,987328,11,0,89757.09090909091
2023-05-25,987817,11,0,89801.54545454546
2023-05-26,1013310,11,1,92119.09090909091
2023-05-27,778629,11,1,70784.45454545454
2023-05-28,694956,11,1,63177.818181818184
2023-05-29,1000758,11,1,90978.0
2023-05-30,1037539,11,1,94321.72727272728
2023-05-31,1062437,11,1,96585.18181818182
2023-06-01,1066494,11,1,96954.0
2023-06-02,1036793,11,1,94253.90909090909
2023-06-03,805948,11,1,73268.0
2023-06-04,764066,11,1,69460.54545454546
2023-06-05,612284,11,1,55662.181818181816
2023-06-06,1004787,11,0,91344.27272727272
2023-06-07,1024177,11,0,93107.0
2023-06-08,1037516,11,0,94319.63636363637
2023-06-09,1015105,11,0,92282.27272727272
2023-06-10,721817,11,0,65619.72727272728
2023-06-11,652468,11,0,59315.27272727273
2023-06-12,974472,11,0,88588.36363636363
2023-06-13,1009998,11,0,91818.0
2023-06-14,1019490,11,0,92680.90909090909
2023-06-15,1020952,11,0,92813.81818181818
2023-06-16,1010429,11,0,91857.18181818182
2023-06-17,695391,11,0,63217.36363636364
2023-06-18,626231,11,0,56930.09090909091
2023-06-19,969621,11,0,88147.36363636363
2023-06-20,1007827,11,0,91620.63636363637
2023-06-21,1013529,11,0,92139.0
2023-06-22,1004625,11,0,91329.54545454546
2023-06-23,999902,11,0,90900.18181818182
2023-06-24,691806,11,0,62891.454545454544
2023-06-25,609070,11,0,55370.0
2023-06-26,952527,11,0,86593.36363636363
2023-06-27,1050868,11,0,95533.45454545454
2023-06-28,998521,11,0,90774.63636363637
2023-06-29,649905,11,1,59082.27272727273
2023-06-30,838300,11,0,76209.09090909091
2023-07-01,652366,11,0,59306.0
2023-07-02,596039,11,0,54185.36363636364
2023-07-03,980461,11,0,89132.81818181818
2023-07-04,1030339,11,0,93667.18181818182
2023-07-05,1051752,11,0,95613.81818181818
2023-07-06,1044334,11,0,94939.45454545454
2023-07-07,1035585,11,0,94144.09090909091
2023-07-08,740502,11,0,67318.36363636363
2023-07-09,656684,11,0,59698.545454545456
2023-07-10,1020146,11,0,92740.54545454546
2023-07-11,1052462,11,0,95678.36363636363
2023-07-12,1066871,11,0,96988.27272727272
2023-07-13,1056816,11,0,96074.18181818182
2023-07-14,1047647,11,0,95240.63636363637
2023-07-15,752688,11,0,68426.18181818182
2023-07-16,635384,11,0,57762.181818181816
2023-07-17,1010685,11,0,91880.45454545454
2023-07-18,1057543,11,0,96140.27272727272
2023-07-19,615333,11,1,55939.36363636364
2023-07-20,1034205,11,0,94018.63636363637
2023-07-21,1019548,11,0,92686.18181818182
2023-07-22,673765,11,0,61251.36363636364
2023-07-23,590939,11,0,53721.72727272727
2023-07-24,998450,11,0,90768.18181818182
2023-07-25,1044158,11,0,94923.45454545454
2023-07-26,1061133,11,0,96466.63636363637
2023-07-27,1050186,11,0,95471.45454545454
2023-07-28,1062381,11,0,96580.09090909091
2023-07-29,768739,11,0,69885.36363636363
2023-07-30,637795,11,0,57981.36363636364
2023-07-31,1011351,11,0,91941.0
2023-08-01,1059949,11,0,96359.0
2023-08-02,1076477,11,0,97861.54545454546
2023-08-03,1056405,11,0,96036.81818181818
2023-08-04,1050118,11,0,95465.27272727272
2023-08-05,748179,11,0,68016.27272727272
2023-08-06,671219,11,0,61019.90909090909
2023-08-07,1031481,11,0,93771.0
2023-08-08,1068106,11,0,97100.54545454546
2023-08-09,1085032,11,0,98639.27272727272
2023-08-10,1082858,11,0,98441.63636363637
2023-08-11,1044056,11,0,94914.18181818182
2023-08-12,656259,11,0,59659.90909090909
2023-08-13,657897,11,0,59808.818181818184
2023-08-14,924742,11,0,84067.45454545454
2023-08-15,1074899,11,0,97718.09090909091
2023-08-16,1078518,11,0,98047.09090909091
2023-08-17,1064994,11,0,96817.63636363637
2023-08-18,1054196,11,0,95836.0
2023-08-19,722966,11,0,65724.18181818182
2023-08-20,639474,11,0,58134.0
2023-08-21,1015457,11,0,92314.27272727272
2023-08-22,1055882,11,0,95989.27272727272
2023-08-23,1078017,11,0,98001.54545454546
2023-08-24,1059998,11,0,96363.45454545454
2023-08-25,1077640,11,1,97967.27272727272
2023-08-26,750291,11,1,68208.27272727272
2023-08-27,663037,11,1,60276.09090909091
2023-08-28,983441,11,1,89403.72727272728
2023-08-29,1073558,11,1,97596.18181818182
2023-08-30,1176751,11,1,106977.36363636363
2023-08-31,904604,11,1,82236.72727272728
2023-09-01,963602,11,1,87600.18181818182
2023-09-02,724681,11,1,65880.09090909091
2023-09-03,639923,11,1,58174.818181818184
2023-09-04,1014383,11,0,92216.63636363637
2023-09-05,1076588,11,0,97871.63636363637
2023-09-06,1092348,11,0,99304.36363636363
2023-09-07,1090273,11,0,99115.72727272728
2023-09-08,1075198,11,0,97745.27272727272
2023-09-09,778550,11,0,70777.27272727272
