,bus_rkl,bus_rpn,rail_lrt_ampang,rail_mrt_kajang,rail_lrt_kj,rail_monorail,rail_mrt_pjy,rail_ets,rail_intercity,rail_komuter_utara,rail_tebrau,rail_komuter,total_ridership,ridership_lag_7,ridership_lag_14,ridership_lag_28,year,day_of_year,fp_lv_ron95,fp_lv_ron97,fp_lv_diesel,fp_lv_diesel_eastmsia,fp_lv_ron95_budi95,fp_lv_ron95_skps,fp_lv_ron95_pct_chg,fp_lv_ron97_pct_chg,fp_lv_diesel_pct_chg,fp_chg_ron95,fp_chg_ron97,fp_chg_diesel,fp_chg_diesel_eastmsia,fp_chg_ron95_budi95,fp_chg_ron95_skps,is_public_holiday,is_school_holiday,is_holiday_any,days_to_next_public_hol,days_since_last_public_hol,days_to_next_school_hol,days_since_last_school_hol,day_of_week,month,is_weekend,dow_sin,dow_cos,month_sin,month_cos,rainfall_mm__MY01,rainfall_mm__MY02,rainfall_mm__MY03,rainfall_mm__MY04,rainfall_mm__MY05,rainfall_mm__MY06,rainfall_mm__MY07,rainfall_mm__MY08,rainfall_mm__MY09,rainfall_mm__MY10,rainfall_mm__MY11,rainfall_mm__MY12,rainfall_mm__MY13,rainfall_mm__MY15,rainfall_mm__MY17,pop_density_median,pop_density_log_median,gtfs_n_stops,gtfs_n_routes,gtfs_n_directed_edges,gtfs_avg_segment_s,osm_poi_total_mean,osm_poi_transport_mean,osm_poi_food_mean,osm_poi_retail_mean,osm_poi_education_mean,osm_poi_healthcare_mean,osm_poi_leisure_mean,osm_poi_other_mean,gadm_n_states,gadm_n_border_pairs,gadm_mean_border_km
is_public_holiday,-0.21161936409570842,-0.025015281090904482,-0.15258210261520017,-0.10379351300163368,-0.15914634427856553,-0.011223304173447695,-0.12915705410188044,0.07241668818178967,0.16562027997969858,0.04081035967307218,-0.008454617098475753,-0.0038507141393467783,-0.10113996650017693,-0.006135264981864212,-0.015828374593341445,-0.003915585133104024,-0.002784844356645549,-0.029631929431157358,-0.011917853261039002,-0.0006317076493691389,-0.009852041966646614,0.0026557638749924264,,,0.0007351918869375567,-0.0015368562763163729,-0.0015580894616363341,-0.0013773158600603802,-0.0051649691298722876,0.0024018786173655724,0.021678808801726047,,,1.0,0.07231687120127385,0.43674370624272435,-0.24029597400587288,-0.24029597400587316,-0.030697950037581332,-0.035232147205502044,-0.006369301799296301,-0.028625569298189272,0.008330601756684422,-0.006608156334562523,0.017894023143694347,0.0011186776958572123,-0.02217279367909424,0.0025337138065064293,-0.003784877792060153,-0.005333852294818255,-0.00019144699023415122,-0.015255539588760747,-0.025587858370727395,-0.013776957998913524,-0.014766664350751984,0.009571853793574649,-0.010182612053156513,0.010869286808813699,0.005126487371774284,-0.009177170409482398,-0.023951174569320145,-0.006830650175578568,,,,,,,,,,,,,,,,,
is_school_holiday,-0.06671352440651572,0.04385909250755492,-0.01855423990342367,0.0022035847333293705,-0.0255881645067683,0.07447728116601063,-0.08330171308923778,0.16578361922957996,0.3183216340407736,0.14901060901900082,0.20431523520016,0.09573787408736527,-0.00809439077407551,0.016877087978494472,0.011042159570534083,0.004021921069938926,0.005714181628250812,0.09498306870402584,0.025382860952965734,0.010921191678076387,-0.0048543622766029845,0.04131826023519474,,,-0.01568005783522274,-0.03167456734791034,-0.00658296923143189,-0.020320800225122466,-0.08500422421190036,-0.012641763520429528,0.02453820732509962,,,0.07231687120127385,1.0,0.8975172683290875,-0.07958575609575014,-0.06000555898026255,-0.5097059237674807,-0.5083232526552451,0.0730030058039453,0.08666014989365793,0.06266235445508075,-0.08037931319575602,-0.014469778623505415,0.09390652638325668,0.08904207187037762,0.11004034526676076,-0.18871824594483386,-0.02295648848584082,-0.016070590419346966,0.02213068108850588,-0.02238102899310604,0.00781576026101284,0.06820816661508597,-0.09043950187101313,-0.19317418741575615,-0.19969847700637625,0.04041227777451907,0.14609148901198166,0.009981718073849137,-0.02104115537004213,,,,,,,,,,,,,,,,,
is_holiday_any,-0.14686998382791877,0.014614425647163545,-0.07580301753623293,-0.043088719077430025,-0.08510205844202424,0.05481048563363857,-0.13510164935812208,0.17385488278060138,0.3509389973799744,0.14591746981843207,0.1798189524504916,0.07870665056611043,-0.05046535478986409,0.004469601682583127,-0.0005009917258563388,-0.004281461993319413,-0.0029128190499616317,0.07000984834584227,0.020841995428191665,0.01253486807380448,-0.01592896011240384,0.04327909757355458,,,-0.01527645309849977,-0.03037116370221232,-0.006629229708007157,-0.023583787452673987,-0.07496674364029454,-0.0113768173367074,0.02604833559642841,,,0.43674370624272435,0.8975172683290875,1.0,-0.16308430421901954,-0.14478570016190406,-0.4542470814189629,-0.4554296837196817,0.07070025844996633,0.06328295972325482,0.06290078028785452,-0.07851196851321449,-0.011574767306450445,0.08660814686858755,0.07613652408707779,0.10661479083160809,-0.17397269234497267,-0.016872042584861215,-0.01105390619957561,0.010398680782849752,-0.02568534990022824,0.008257207526576212,0.06147140730326149,-0.0744304276365491,-0.18215510941968052,-0.17662624010208694,0.042315715877523655,0.12695250252550194,0.00475614544919736,-0.01678754887459634,,,,,,,,,,,,,,,,,
days_to_next_public_hol,-0.014540036196378387,-0.11394480458430539,0.0312533630856111,0.0014756924269793475,0.055716749935047806,-0.03844308869373791,0.09157887544312807,-0.07943534429074144,-0.08437641923066473,-0.06692671695180569,-0.07916130080348069,-0.016847843139391663,-0.012665292457020387,-0.03503914186246226,-0.04354194838697075,-0.031180873438475174,-0.041791193858332125,-0.19902819922872614,0.06691014623095849,-0.09568550193239353,0.007534956633281453,0.048462709018527554,,,-0.002611293600873416,0.036814909599854964,-0.015428650861243447,-0.006302867483662401,0.09425037968248956,-0.020667725374779927,-0.05898660985870716,,,-0.24029597400587288,-0.07958575609575014,-0.16308430421901954,1.0,-0.06143716774069751,0.11085225341235208,0.10385944155715039,-0.0020532346342894852,-0.19470807240489577,-0.0047944056374737525,0.002362710530951938,0.0002827863717159722,0.2284588796868808,0.11535005913402614,-0.09819390656467307,-0.061453644167986904,-0.04750400391209448,0.03962337781290222,-0.2921168356787415,-0.03018097390386862,-0.017701330486753826,-0.05098832786230675,-0.07094366689994501,-0.09637348745924279,-0.06107248025944267,-0.20208948368523247,-0.12112437280601952,-0.01630626778005411,-0.011123097481364645,,,,,,,,,,,,,,,,,
days_since_last_public_hol,0.03363324178578891,-0.06343408752428857,0.004321813857070774,-0.01589626430589213,0.013187218347174862,-0.04611254656851178,0.1968775215180049,-0.048113293501213725,-0.1467897899022595,-0.042361164768465256,0.09912443560031943,0.0030232528521692234,-0.015340049476678077,-0.023552282905807735,-0.01801318279746643,-0.026200421922781006,-0.039781066613014684,-0.03081426640127623,-0.01588782755226393,-0.06282291023382613,-0.03427824068994014,-0.07416164291797678,,,-0.03774175164254934,-0.004859388251697731,-0.03830397752114685,-0.07726170165277875,0.03184039638766527,-0.10111867954816897,-0.15566591321067377,,,-0.24029597400587316,-0.06000555898026255,-0.14478570016190406,-0.06143716774069751,1.0,-0.07231375568114183,0.10863900471755279,-0.0009291274557596063,-0.04029823959154732,-0.0008223189488682273,0.0019219817464253381,-0.001033181937255962,0.247265379696287,-0.03396994135909024,0.02786672859916461,-0.037153539099342166,-0.07339909886932625,0.11967703893919394,-0.0410287924150435,0.08893549544775718,0.10911543640220708,0.021799400941244742,0.019441928036082044,-0.0504831595794998,-0.03198878922091119,-0.09022780679088271,0.03332985155681177,-0.01982537566527539,0.09075956929644663,,,,,,,,,,,,,,,,,
days_to_next_school_hol,-0.17167978535630457,-0.2863172499758503,-0.027497069094754654,-0.05086076691345958,-0.029716568318869662,-0.09713475388911282,0.058724549020276504,-0.0943561739278724,-0.13117722924108752,-0.10311979375657067,-0.11693283135405536,-0.1742415525014114,-0.03175319608674536,-0.04846007096076174,-0.043895361603702214,-0.047270533441787145,-0.009685848185549158,-0.1238152793694266,-0.03552956484844147,-0.002326930604719553,-0.018805870110830153,-0.05400817078525825,,,0.018548716572374332,0.03011754963013852,0.039308469095135634,0.041506554045131254,0.07466298346413364,0.0722010218920714,-0.019161324116115708,,,-0.030697950037581332,-0.5097059237674807,-0.4542470814189629,0.11085225341235208,-0.07231375568114183,1.0,-0.07850020532164584,-0.03498412867355754,-0.12075743381734211,-0.027433242180885466,0.027186717816776108,0.012108175868163873,-0.14569494335888145,-0.009519363133884498,-0.1701617292881053,0.10169547063183695,-0.1269548310889122,-0.0788676306468952,0.022420164585943154,-0.08742926680624732,-0.1288428958830562,-0.18171170491860947,-0.07291839465461103,0.13707778740384138,0.13841319257665402,0.018055152558115073,-0.09134170978697466,-0.14841362467713232,-0.11306289494001363,,,,,,,,,,,,,,,,,
days_since_last_school_hol,-0.09266641753487614,-0.15700388485711422,0.04883892175054057,-0.004557999594712043,0.04241007952119872,-0.05579615202980733,0.10406041503231545,-0.07541699894606195,-0.17263220704361487,-0.10411746134779966,-0.061310450744146594,0.055968498140022596,-0.007821748606382002,-0.018696825475146863,-0.02920675734143564,-0.04159898726246397,-0.09344028484127578,0.10784548570111904,0.007470099421614374,0.053166980443401866,-0.007925477079013473,-0.0055223681246927185,,,-0.007815886585001354,0.04346993597318715,-0.015096789099205869,-0.02562715590216528,0.16890486786033915,-0.013633599776919057,0.03343914207110035,,,-0.035232147205502044,-0.5083232526552451,-0.4554296837196817,0.10385944155715039,0.10863900471755279,-0.07850020532164584,1.0,-0.02518389990079656,0.11176728424123465,-0.024254015546026794,0.04130506686818572,-0.0007597258539452558,-0.04258100180305113,0.10025415287152406,-0.018515611260499748,0.1326145338600366,0.1902204766136458,0.11667132728683495,-0.014933181316690905,0.08093202326597439,0.1295994621952085,0.13133025976794646,0.156508555774583,0.12924385136298033,0.09049966746322131,-0.030561376223655033,-0.04151664386361784,0.20855965781137714,0.16726797379959354,,,,,,,,,,,,,,,,,
day_of_week,-0.4190288921386766,-0.07637718545634076,-0.281456830192451,-0.2336437899267541,-0.3519545438561478,-0.08646658831503676,-0.2916943569713257,0.14275289879407,0.31979346996920477,0.1780587290435463,-0.15579219191206953,-0.377046579530873,-0.21828833573788473,-0.21752459343505678,-0.21708504647215915,-0.21601862608900807,-0.0002933555516168818,-0.0003404581426426109,-0.0020046681463877715,0.0005159913334186428,-0.0031774170554481227,-0.0002671001673858983,,,-0.012969095558543309,0.0002541190459868934,-0.026044639839335172,-0.007275867807148672,-0.00031806727848028923,-0.027683168094139236,-2.0110948503804206e-06,,,-0.006369301799296301,0.0730030058039453,0.07070025844996633,-0.0020532346342894852,-0.0009291274557596063,-0.03498412867355754,-0.02518389990079656,1.0,-0.0004781787434227405,0.790623487537205,-0.7342352888609772,-0.3536896672803798,0.0003302120972373607,-0.0006918070851169317,0.0007411321503642723,-0.0019484176490403614,-0.0005452760308213726,-0.0006830621916499034,-0.0026373546558818785,0.0005537316026207525,0.0004851714429802426,0.0007702490875894054,-0.0007215385395347087,-0.0043973636029828985,-0.0036262651937847986,-0.002620748784192489,-0.0003050603841423591,-0.0008575522905406193,-0.0001277605617229461,,,,,,,,,,,,,,,,,
month,0.18070145884987981,0.24627862942580123,0.08168350877326054,0.1040725833682712,0.044600602345809454,0.11549127262101307,0.0389869393970889,0.05408386719353278,0.11852862479805626,0.10956212256318482,0.10585838893280189,-0.07624709620071982,0.08983949748533898,0.09483261156359622,0.09077265523834376,0.08475371122514015,-6.966504293014847e-14,0.996500349281544,0.13313319783930577,0.06879712362823708,0.10143553051213389,-0.031502466187460644,,,0.02549662141594066,-0.019501473626882468,0.005213506471006527,0.08463157324330021,-0.08354006148263896,0.015669888779378444,0.07657533697297492,,,-0.028625569298189272,0.08666014989365793,0.06328295972325482,-0.19470807240489577,-0.04029823959154732,-0.12075743381734211,0.11176728424123465,-0.0004781787434227405,1.0,-0.00010437602012532211,-0.0001208235527709786,0.0007894197550067425,-0.7609923513676988,0.20894465088322334,0.22945082176117074,0.4115907479774903,0.5042829372428576,0.18794138970274302,0.4343274239971586,0.29541660813322207,0.3667353093980814,0.4663961752242185,0.40120118745858363,0.41049468068546746,0.3279833693832376,0.10460169333173586,-0.011099323795734724,0.4934184312051675,0.3464844571763745,,,,,,,,,,,,,,,,,
is_weekend,-0.5481715610534382,-0.1553945625045456,-0.37924779870052144,-0.31836364206682555,-0.4672584098511189,-0.13519569752471605,-0.37629017036763196,0.11701710450777389,0.26914753114549633,0.11489753984221796,-0.3626484028194347,-0.550549905979991,-0.2949167320427834,-0.2942411018377036,-0.2936704097268969,-0.29235059103342403,0.00043295155180172844,-4.02068884728186e-06,-0.0021847976620407244,0.0002917558923616356,-0.0020199272274300916,-0.00035841128814707846,,,-0.008281054825752702,-0.009421736227058915,-0.007831129198256744,-0.005412439323384346,0.00016320190270423235,-0.017509418610123863,-1.6960532928976994e-06,,,0.008330601756684422,0.06266235445508075,0.06290078028785452,-0.0047944056374737525,-0.0008223189488682273,-0.027433242180885466,-0.024254015546026794,0.790623487537205,-0.00010437602012532211,1.0,-0.7856585067908644,0.17911973198757514,0.0001673679414302188,-0.001125526015343168,-0.0021042191865044474,-0.005570379313342818,-0.004003343037756471,-0.001985273497287811,-0.003631305853293418,-0.0012190136322504993,-0.001800329469464176,-0.0021102966681196566,-0.00402069076879068,-0.00628304892058533,-0.004960527800494506,-0.0027165133516469982,-0.0014152721851008684,-0.004252696276256902,-0.002043558554530979,,,,,,,,,,,,,,,,,
dow_sin,0.4584747095207123,0.10976748015014093,0.2930790533593703,0.2544636155390384,0.3805545007581575,0.09039331098111733,0.31415451228027425,-0.18227137239547495,-0.33603576542486685,-0.19534251460340668,0.08900627284404868,0.39235844907320006,0.2344262196704725,0.23346178298898834,0.23303227671403842,0.23198582937632847,-0.0002827306290277689,-0.00017922958873412052,0.003561632969321182,-0.0007944163285334741,0.0025084475236041965,0.0005075853279532683,,,0.014055657663998022,0.008848983897405387,-0.0032096260556677024,0.011691354692113961,0.0004762578998527827,0.02291532669237659,3.329734588170213e-06,,,-0.006608156334562523,-0.08037931319575602,-0.07851196851321449,0.002362710530951938,0.0019219817464253381,0.027186717816776108,0.04130506686818572,-0.7342352888609772,-0.0001208235527709786,-0.7856585067908644,1.0,0.0002113779940694893,0.00016389660726840276,0.0017544423392734658,0.0019331844331089592,0.005270563206401541,0.0044049962093956445,0.0016918863932137485,0.0024082245990297516,0.0009608313141093706,0.0017373523863906826,0.002280302392458818,0.003721604697903945,0.006521508453013333,0.0054497300304255656,0.00188373149783471,0.0011179433628475358,0.005170662765667264,0.0016287366453882227,,,,,,,,,,,,,,,,,
