model_key,display_name,mco,lookback,run_id,verdict,val_drift_pct,gap_ratio,val_trend,early_stop,best_epoch,total_epochs,notes
stfgnn_tuned,STFGNNForecaster (tuned),include,56,20260530_170950,overfit,24.84,2.3326,falling,False,7,22,Val drift +24.8% above best — within normal ... | Val/train gap 2.33× is within the 3× threshold ... | Training loss still declining in final 10 epochs ...
stgcn,STGCNForecaster,exclude,14,20260530_134756,overfit,15.41,5.0347,falling,False,45,60,"Val drift +15.4% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 5.03× exceeds 3× (min_train=0.00129, best_val=0.00648) — significant memorisation of training data. | Training loss still declining in final 10 epochs while val drifted up +15.4% — train/val divergence detected."
stgcn,STGCNForecaster,exclude,28,20260530_134825,overfit,17.09,4.5686,falling,False,28,43,"Val drift +17.1% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 4.57× exceeds 3× (min_train=0.00156, best_val=0.00713) — significant memorisation of training data. | Training loss still declining in final 10 epochs while val drifted up +17.1% — train/val divergence detected."
stgcn,STGCNForecaster,exclude,56,20260530_134900,overfit,6.87,5.2287,falling,False,13,28,"Val drift +6.9% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 5.23× exceeds 3× (min_train=0.00163, best_val=0.00851) — significant memorisation of training data."
stgcn,STGCNForecaster,include,14,20260530_164059,overfit,22.98,4.6213,falling,False,17,32,"Val drift +23.0% above best — within normal patience-window oscillation (threshold 25%). | Val/train gap 4.62× exceeds 3× (min_train=0.00093, best_val=0.00432) — significant memorisation of training data. | Training loss still declining in final 10 epochs while val drifted up +23.0% — train/val divergence detected."
stgcn,STGCNForecaster,include,28,20260530_164136,overfit,33.51,5.6768,falling,False,13,28,"Val loss drifted +33.5% above its best (best=0.00438 → final=0.00585) — model degraded after epoch 13. | Val/train gap 5.68× exceeds 3× (min_train=0.00077, best_val=0.00438) — significant memorisation of training data. | Training loss still declining in final 10 epochs while val drifted up +33.5% — train/val divergence detected."
stgcn,STGCNForecaster,include,56,20260530_164246,overfit,102.4,7.1847,falling,False,13,28,"Val loss drifted +102.4% above its best (best=0.00448 → final=0.00907) — model degraded after epoch 13. | Val/train gap 7.18× exceeds 3× (min_train=0.00062, best_val=0.00448) — significant memorisation of training data. | Training loss still declining in final 10 epochs while val drifted up +102.4% — train/val divergence detected."
stgcn_tuned,STGCNForecaster (tuned),exclude,14,20260530_142815,overfit,4.85,6.1256,flat,False,38,53,Val drift +4.8% above best — within normal ... | Val/train gap 6.13× exceeds ...
stgcn_tuned,STGCNForecaster (tuned),exclude,28,20260530_142901,overfit,2.97,4.9394,falling,False,25,40,Val drift +3.0% above best — within normal ... | Val/train gap 4.94× exceeds ...
stgcn_tuned,STGCNForecaster (tuned),exclude,56,20260530_143034,overfit,10.62,11.1542,falling,False,24,39,Val drift +10.6% above best — within normal ... | Val/train gap 11.15× exceeds ... | Training loss still declining in final 10 epochs ...
