stop_id,stop_name,stop_lat,stop_lon,route_id
PY16,SENTUL BARAT,3.179369,101.684742,PYL
PY17,TITIWANGSA,3.17408,101.69581,PYL
PY18,HOSPITAL KUALA LUMPUR,3.17405,101.70239,PYL
PY19,RAJA UDA,3.16794,101.71017,PYL
PY20,AMPANG PARK,3.16225,101.71781,PYL
PY21,PERSIARAN KLCC,3.15712,101.71834,PYL
PY22,CONLAY,3.15145,101.71801,PYL
PY23,TUN RAZAK EXCHANGE,3.14289,101.72034,PYL
PY24,CHAN SOW LIN,3.12839,101.71663,PYL
PY27,KUCHAI,3.089546,101.694124,PYL
PY28,TAMAN NAGA EMAS,3.077688,101.699867,PYL
PY29,SUNGAI BESI,3.063737,101.7084,PYL
PY31,SERDANG RAYA UTARA,3.041674,101.704928,PYL
PY32,SERDANG RAYA SELATAN,3.028463,101.707514,PYL
PY33,SERDANG JAYA,3.0216,101.709,PYL
PY34,UPM,3.008489,101.705396,PYL
PY36,TAMAN EQUINE,2.98942,101.67244,PYL
PY37,PUTRA PERMAI,2.98339,101.66099,PYL
PY38,16 SIERRA,2.964974,101.654812,PYL
PY39,CYBERJAYA UTARA,2.95,101.6573,PYL
PY40,CYBERJAYA CITY CENTRE,2.9384,101.6659,PYL
PY41,PUTRAJAYA SENTRAL,2.9313,101.6715,PYL
MR1,KL SENTRAL,3.132852,101.687817,MR
MR2,TUN SAMBANTHAN,3.13132,101.69085,MR
MR3,MAHARAJALELA,3.138743,101.699268,MR
MR4,HANG TUAH,3.140511,101.706029,MR
MR5,IMBI,3.14283,101.70945,MR
MR6,BUKIT BINTANG,3.146022,101.7115,MR
MR7,RAJA CHULAN,3.150878,101.710432,MR
MR8,BUKIT NANAS,3.156214,101.704809,MR
MR9,MEDAN TUANKU,3.15935,101.69888,MR
MR10,CHOW KIT,3.167358,101.698379,MR
MR11,TITIWANGSA,3.173192,101.696022,MR
BRT1,SUNWAY-SETIA JAYA,3.0828,101.6123,BRT
BRT2,MENTARI,3.0761,101.6101,BRT
BRT3,SUNWAY LAGOON,3.0706,101.6107,BRT
BRT4,SUNMED,3.0656,101.6087,BRT
BRT5,SunU-Monash,3.0654,101.6016,BRT
BRT6,SOUTH QUAY-USJ 1,3.0617,101.5969,BRT
BRT7,USJ7,3.0553,101.5919,BRT
