stop_id,stop_name,stop_lat,stop_lon,route_id,operator
KJ16,BANK RAKYAT BANGSAR,3.127588,101.679062,KJ,rapid_rail_kl
KJ15,KL SENTRAL - REDONE,3.13442,101.68625,KJ,rapid_rail_kl
KJ14,PASAR SENI,3.142439,101.69531,KJ,rapid_rail_kl
KJ13,MASJID JAMEK,3.149714,101.696815,KJ,rapid_rail_kl
KJ12,DANG WANGI,3.156942,101.701975,KJ,rapid_rail_kl
KJ11,KAMPUNG BARU - CBP COOPBANK PERTAMA,3.161386,101.706608,KJ,rapid_rail_kl
KJ10,KLCC,3.158935,101.713287,KJ,rapid_rail_kl
KJ9,AMPANG PARK,3.159894,101.719017,KJ,rapid_rail_kl
KJ8,DAMAI,3.164406,101.724489,KJ,rapid_rail_kl
KJ7,DATO' KERAMAT,3.16509,101.73184,KJ,rapid_rail_kl
KJ6,JELATEK,3.167204,101.735344,KJ,rapid_rail_kl
KJ5,SETIAWANGSA,3.17576,101.73584,KJ,rapid_rail_kl
KJ4,SRI RAMPAI,3.199176,101.73747,KJ,rapid_rail_kl
KJ3,WANGSA MAJU,3.205751,101.731796,KJ,rapid_rail_kl
KJ2,TAMAN MELATI,3.219558,101.72197,KJ,rapid_rail_kl
KJ1,GOMBAK,3.231793,101.724427,KJ,rapid_rail_kl
SP31,PUTRA HEIGHTS,2.996016,101.575521,PH,rapid_rail_kl
SP29,PUCHONG PRIMA,2.999808,101.596692,PH,rapid_rail_kl
SP28,PUCHONG PERDANA,3.007913,101.605021,PH,rapid_rail_kl
SP27,BANDAR PUTERI,3.017111,101.612855,PH,rapid_rail_kl
SP26,TAMAN PERINDUSTRIAN PUCHONG,3.022814,101.613514,PH,rapid_rail_kl
SP25,PUSAT BANDAR PUCHONG,3.033194,101.616057,PH,rapid_rail_kl
SP24,IOI PUCHONG JAYA,3.048101,101.62095,PH,rapid_rail_kl
SP22,KINRARA,3.050506,101.644294,PH,rapid_rail_kl
SP21,ALAM SUTERA,3.0547,101.656468,PH,rapid_rail_kl
SP20,MUHIBBAH,3.062229,101.662552,PH,rapid_rail_kl
SP19,AWAN BESAR,3.062131,101.670555,PH,rapid_rail_kl
SP18,SRI PETALING,3.061445,101.687074,PH,rapid_rail_kl
SP17,BUKIT JALIL,3.058196,101.692125,PH,rapid_rail_kl
SP16,SUNGAI BESI,3.063842,101.708062,PH,rapid_rail_kl
SP15,BANDAR TASIK SELATAN,3.076058,101.711107,PH,rapid_rail_kl
SP14,BANDAR TUN RAZAK,3.089576,101.712466,PH,rapid_rail_kl
SP13,SALAK SELATAN,3.102201,101.706179,PH,rapid_rail_kl
SP12,CHERAS,3.112609,101.714178,PH,rapid_rail_kl
SP11,CHAN SOW LIN,3.128105,101.715637,PH,rapid_rail_kl
SP10,PUDU,3.134879,101.711957,PH,rapid_rail_kl
SP9,HANG TUAH,3.140012,101.705984,PH,rapid_rail_kl
SP8,PLAZA RAKYAT,3.144049,101.702105,PH,rapid_rail_kl
SP7,MASJID JAMEK,3.14927,101.696377,PH,rapid_rail_kl
SP6,BANDARAYA - UOB,3.155567,101.694485,PH,rapid_rail_kl
SP5,SULTAN ISMAIL,3.161245,101.694109,PH,rapid_rail_kl
SP4,PWTC,3.166333,101.693586,PH,rapid_rail_kl
SP3,TITIWANGSA,3.173497,101.695367,PH,rapid_rail_kl
SP2,SENTUL,3.178484,101.695542,PH,rapid_rail_kl
SP1,SENTUL TIMUR,3.185897,101.695217,PH,rapid_rail_kl
KG04,KWASA DAMANSARA,3.176146,101.572052,KGL,rapid_rail_kl
KG05,KWASA SENTRAL,3.170112,101.564651,KGL,rapid_rail_kl
KG06,KOTA DAMANSARA,3.150134,101.57869,KGL,rapid_rail_kl
KG07,SURIAN,3.14948,101.593925,KGL,rapid_rail_kl
KG08,MUTIARA DAMANSARA,3.155301,101.609077,KGL,rapid_rail_kl
KG09,BANDAR UTAMA,3.14671,101.618599,KGL,rapid_rail_kl
KG10,TAMAN TUN DR ISMAIL,3.13613,101.630539,KGL,rapid_rail_kl
KG12,PHILEO DAMANSARA,3.129864,101.642471,KGL,rapid_rail_kl
KG13,PUSAT BANDAR DAMANSARA,3.143444,101.662857,KGL,rapid_rail_kl
KG14,SEMANTAN,3.150977,101.665497,KGL,rapid_rail_kl
KG15,MUZIUM NEGARA,3.137317,101.687336,KGL,rapid_rail_kl
KG16,PASAR SENI,3.142293265,101.6955642,KGL,rapid_rail_kl
KG17,MERDEKA,3.141969,101.70205,KGL,rapid_rail_kl
KG18A,BUKIT BINTANG,3.146503,101.710947,KGL,rapid_rail_kl
KG20,TUN RAZAK EXCHANGE,3.142403,101.720156,KGL,rapid_rail_kl
KG21,COCHRANE,3.132829,101.722962,KGL,rapid_rail_kl
KG22,MALURI,3.123623,101.727809,KGL,rapid_rail_kl
KG23,TAMAN PERTAMA,3.112547,101.729371,KGL,rapid_rail_kl
KG24,TAMAN MIDAH,3.104505,101.732186,KGL,rapid_rail_kl
KG25,TAMAN MUTIARA,3.090989,101.740453,KGL,rapid_rail_kl
KG26,TAMAN CONNAUGHT,3.079172,101.74522,KGL,rapid_rail_kl
KG27,TAMAN SUNTEX,3.071578,101.763552,KGL,rapid_rail_kl
KG28,SRI RAYA,3.062273,101.772899,KGL,rapid_rail_kl
KG29,BANDAR TUN HUSSEIN ONN,3.048223,101.775109,KGL,rapid_rail_kl
KG30,BATU 11 CHERAS,3.041339,101.773383,KGL,rapid_rail_kl
KG31,BUKIT DUKUNG,3.026413,101.771072,KGL,rapid_rail_kl
KG33,SUNGAI JERNIH,3.000948,101.783857,KGL,rapid_rail_kl
KG34,STADIUM KAJANG,2.994514,101.786338,KGL,rapid_rail_kl
KG35,KAJANG,2.982778,101.790278,KGL,rapid_rail_kl
PY01,KWASA DAMANSARA,3.1763324,101.5721456,PYL,rapid_rail_kl
PY03,KAMPUNG SELAMAT,3.197266,101.578499,PYL,rapid_rail_kl
PY04,SUNGAI BULOH,3.206429,101.581779,PYL,rapid_rail_kl
PY05,DAMANSARA DAMAI,3.199892,101.592623,PYL,rapid_rail_kl
PY06,SRI DAMANSARA BARAT,3.198197,101.608302,PYL,rapid_rail_kl
PY07,SRI DAMANSARA SENTRAL,3.198815,101.621396,PYL,rapid_rail_kl
PY08,SRI DAMANSARA TIMUR,3.207832,101.628716,PYL,rapid_rail_kl
PY09,METRO PRIMA,3.214438,101.639402,PYL,rapid_rail_kl
PY10,KEPONG BARU,3.211663,101.648193,PYL,rapid_rail_kl
PY11,JINJANG,3.209544,101.655829,PYL,rapid_rail_kl
PY12,SRI DELIMA,3.207108,101.665749,PYL,rapid_rail_kl
PY13,KAMPUNG BATU,3.205521,101.675473,PYL,rapid_rail_kl
PY14,KENTOMEN,3.19563,101.6797,PYL,rapid_rail_kl
PY15,JALAN IPOH,3.189319,101.681145,PYL,rapid_rail_kl
PY16,SENTUL BARAT,3.179369,101.684742,PYL,rapid_rail_kl
PY17,TITIWANGSA,3.17408,101.69581,PYL,rapid_rail_kl
PY18,HOSPITAL KUALA LUMPUR,3.17405,101.70239,PYL,rapid_rail_kl
PY19,RAJA UDA,3.16794,101.71017,PYL,rapid_rail_kl
PY20,AMPANG PARK,3.16225,101.71781,PYL,rapid_rail_kl
PY21,PERSIARAN KLCC,3.15712,101.71834,PYL,rapid_rail_kl
PY22,CONLAY,3.15145,101.71801,PYL,rapid_rail_kl
PY23,TUN RAZAK EXCHANGE,3.14289,101.72034,PYL,rapid_rail_kl
PY24,CHAN SOW LIN,3.12839,101.71663,PYL,rapid_rail_kl
PY27,KUCHAI,3.089546,101.694124,PYL,rapid_rail_kl
PY28,TAMAN NAGA EMAS,3.077688,101.699867,PYL,rapid_rail_kl
PY29,SUNGAI BESI,3.063737,101.7084,PYL,rapid_rail_kl
PY31,SERDANG RAYA UTARA,3.041674,101.704928,PYL,rapid_rail_kl
PY32,SERDANG RAYA SELATAN,3.028463,101.707514,PYL,rapid_rail_kl
PY33,SERDANG JAYA,3.0216,101.709,PYL,rapid_rail_kl
PY34,UPM,3.008489,101.705396,PYL,rapid_rail_kl
PY36,TAMAN EQUINE,2.98942,101.67244,PYL,rapid_rail_kl
PY37,PUTRA PERMAI,2.98339,101.66099,PYL,rapid_rail_kl
PY38,16 SIERRA,2.964974,101.654812,PYL,rapid_rail_kl
PY39,CYBERJAYA UTARA,2.95,101.6573,PYL,rapid_rail_kl
PY40,CYBERJAYA CITY CENTRE,2.9384,101.6659,PYL,rapid_rail_kl
PY41,PUTRAJAYA SENTRAL,2.9313,101.6715,PYL,rapid_rail_kl
MR1,KL SENTRAL,3.132852,101.687817,MR,rapid_rail_kl
MR2,TUN SAMBANTHAN,3.13132,101.69085,MR,rapid_rail_kl
MR3,MAHARAJALELA,3.138743,101.699268,MR,rapid_rail_kl
MR4,HANG TUAH,3.140511,101.706029,MR,rapid_rail_kl
MR5,IMBI,3.14283,101.70945,MR,rapid_rail_kl
MR6,BUKIT BINTANG,3.146022,101.7115,MR,rapid_rail_kl
MR7,RAJA CHULAN,3.150878,101.710432,MR,rapid_rail_kl
MR8,BUKIT NANAS,3.156214,101.704809,MR,rapid_rail_kl
MR9,MEDAN TUANKU,3.15935,101.69888,MR,rapid_rail_kl
MR10,CHOW KIT,3.167358,101.698379,MR,rapid_rail_kl
MR11,TITIWANGSA,3.173192,101.696022,MR,rapid_rail_kl
BRT1,SUNWAY-SETIA JAYA,3.0828,101.6123,BRT,rapid_rail_kl
BRT2,MENTARI,3.0761,101.6101,BRT,rapid_rail_kl
BRT3,SUNWAY LAGOON,3.0706,101.6107,BRT,rapid_rail_kl
BRT4,SUNMED,3.0656,101.6087,BRT,rapid_rail_kl
BRT5,SunU-Monash,3.0654,101.6016,BRT,rapid_rail_kl
BRT6,SOUTH QUAY-USJ 1,3.0617,101.5969,BRT,rapid_rail_kl
BRT7,USJ7,3.0553,101.5919,BRT,rapid_rail_kl
