stop_id,stop_name,stop_lat,stop_lon,operator,route_id,nearest_grid_dist_km,density_per_km2,density_log
1002047,SA655 PEKAN BARU SUBANG,3.145205,101.538202,rapidbus_kl,,0.21804573176097192,6197.00048828125,8.731982017128145
1002383,SA656 KG MELAYU SUBANG (SELATAN),3.144174,101.536324,rapidbus_kl,,0.1384464311655768,6197.00048828125,8.731982017128145
1006785,SJKC SUBANG,3.142784,101.534938,rapidbus_kl,,0.3269790433119912,6197.00048828125,8.731982017128145
1002025,SA661 KG MELAYU SUBANG (BARAT),3.148488,101.530508,rapidbus_kl,,0.4465650964363267,5485.095703125,8.609972116318955
1001446,SA663 TAMAN SUBANG BARU,3.1525132249343,101.52914756618,rapidbus_kl,,0.19392573741820704,5026.79833984375,8.52273746147617
1004134,SA777 KG MELAYU SUBANG (UTARA),3.160127208192,101.53254664638,rapidbus_kl,,0.46512707794015473,7752.8818359375,8.955948879004298
1002581,SA690 APARTMENT JASMINE BLOK 4,3.163214,101.535467,rapidbus_kl,,0.15281009357534647,7752.8818359375,8.955948879004298
1008651,SA891 APARTMENT JASMIN (OPP),3.165103,101.534858,rapidbus_kl,,0.36959362291466386,7752.8818359375,8.955948879004298
1000062,SA691 KOMERSIAL PUTERI SUBANG,3.167557,101.533989,rapidbus_kl,,0.4051147315213465,8087.83984375,8.998240593557512
1004068,SA694 PERUMAHAN SUBANG GALAKSI,3.169365,101.534011,rapidbus_kl,,0.27468611902304224,8087.83984375,8.998240593557512
1003175,SA718 TAMAN SUBANG PELANGI (UTARA),3.174006,101.531931,rapidbus_kl,,0.5982928575204177,4090.84375,8.316750942080505
1002120,SA703 KOMERSIAL SUBANG U5,3.178706,101.535787,rapidbus_kl,,0.051594734162822425,8612.0927734375,9.061038740057937
1003699,SA721 APARTMENT SUBANG SURIA,3.184248,101.535235,rapidbus_kl,,0.3348141655754322,5439.53076171875,8.601631901583104
1002185,SA707 PANGSAPURI UTARID,3.182572,101.535168,rapidbus_kl,,0.4416058456904708,8612.0927734375,9.061038740057937
1002121,SA698 KOMERSIAL SUBANG U5,3.1786948145849,101.5359274709,rapidbus_kl,,0.03629081717412452,8612.0927734375,9.061038740057937
1002783,SA699 HAB BAS U5,3.177228,101.536335,rapidbus_kl,,0.16952557017248407,8612.0927734375,9.061038740057937
1002075,SA704 MUTIARA SUBANG,3.183078,101.535779,rapidbus_kl,,0.4484483821989821,5439.53076171875,8.601631901583104
1003176,SA723 TAMAN SUBANG PELANGI,3.174251,101.532089,rapidbus_kl,,0.6286029744166983,8087.83984375,8.998240593557512
1004069,SA686 PANGSAPURI SRI PELANGI,3.1690848350424,101.53428487918,rapidbus_kl,,0.2636665313503629,8087.83984375,8.998240593557512
1001522,SA687 TAMAN PUTERI SUBANG,3.167513,101.534259,rapidbus_kl,,0.3912861712822168,8087.83984375,8.998240593557512
1008650,SA688 APARTMENT JASMIN,3.165047,101.535131,rapidbus_kl,,0.3521498929531078,7752.8818359375,8.955948879004298
1002582,SA689 KOMERSIAL PINGGIRAN SUBANG,3.1625527984051,101.536002893,rapidbus_kl,,0.05893297959628981,7752.8818359375,8.955948879004298
1004133,SA749 KG MELAYU SUBANG (UTARA),3.159753,101.532064,rapidbus_kl,,0.5284123005577553,5612.86572265625,8.632994838334437
1001447,SA664 TAMAN SUBANG BARU,3.152921,101.529267,rapidbus_kl,,0.176043353260433,5026.79833984375,8.52273746147617
1001733,SA667 KG MELAYU SUBANG (BARAT),3.148669,101.530516,rapidbus_kl,,0.46269153228233845,5485.095703125,8.609972116318955
1002382,SA668 KG MELAYU SUBANG (SELATAN),3.144093,101.535883,rapidbus_kl,,0.15273027191986416,6197.00048828125,8.731982017128145
1002046,SA669 PEKAN BARU SUBANG,3.1454106605383,101.53798409554,rapidbus_kl,,0.1925772363496459,6197.00048828125,8.731982017128145
1003698,SA672 KOMERSIAL SUBANG PERDANA,3.149769,101.543583,rapidbus_kl,,0.45639740885937574,8066.15869140625,8.99555661641899
1008652,SA673 U5 (BARAT),3.145268,101.544585,rapidbus_kl,,0.016554146337595135,4743.96142578125,8.464838581565516
1002727,SA674 U5 (SELATAN),3.140041,101.547028,rapidbus_kl,,0.42643000427678635,3887.6171875,8.265808894623156
1007347,SA922 KG BARU SUBANG (SELATAN),3.138181,101.552859,rapidbus_kl,,0.12219893092917312,3733.66943359375,8.2254145885882
1008269,SA904 SUBANG SKYPARK TERMINAL (OPP),3.133476,101.554369,rapidbus_kl,,0.432351863130291,3733.66943359375,8.2254145885882
1003890,SA902 MALAYSIAN AIRLINE BERHAD,3.130825,101.555973,rapidbus_kl,,0.41037640592595004,4099.93603515625,8.318970527893255
1000105,SA900 AEROTREE (OPP),3.124724,101.559552,rapidbus_kl,,0.48575167118828744,3978.108642578125,8.288813114044663
1002473,SA905 PETRONAS SUBANG AIRPORT,3.1170923091616,101.56452590626,rapidbus_kl,,0.5186384852964829,3458.228271484375,8.148800800250406
1000157,SA907 OASIS ARA DAMANSARA (SELATAN),3.1139231503313,101.56986615583,rapidbus_kl,,0.2069596461249772,3972.7822265625,8.287473622053719
1003767,PJ607 OASIS RIO DAMANSARA/SYMPHONY,3.1093621466462,101.58280923832,rapidbus_kl,,0.4873228577115425,6796.74755859375,8.82434659490838
1006588,PJ609 LRT ARA DAMANSARA,3.107592,101.58608,rapidbus_kl,,0.4276041713490822,6178.728515625,8.72902961997629
1001907,PJ283 MASJID TUN ABDUL AZIZ,3.111807,101.633184,rapidbus_kl,,0.34176303204577896,6365.32958984375,8.758778379961429
1000419,PJ286 THE CREST (OPP),3.110708,101.630782,rapidbus_kl,,0.35303791224338116,7488.5634765625,8.921265793980094
1002881,PJ287 PERUMAHAN SEKSYEN 20 (TIMUR),3.110484,101.628414,rapidbus_kl,,0.18624710857445193,7488.5634765625,8.921265793980094
1002950,PJ288 PERUMAHAN SEKSYEN 20 (BARAT),3.109329,101.625887,rapidbus_kl,,0.3802352364960781,7488.5634765625,8.921265793980094
1006254,PJ346 PERUMAHAN SS2,3.117175,101.620643,rapidbus_kl,,0.37920677334613523,9036.0498046875,9.109088051083793
1002113,PJ67 OCBC,3.1330018226012,101.62049666244,rapidbus_kl,,0.46506485605132397,9804.263671875,9.190674629842052
1004277,PJ134 LAVELL GALLERY,3.135062,101.620776,rapidbus_kl,,0.2609105581275937,9804.263671875,9.190674629842052
1001837,PJ724 DAMANSARA UPTOWN (UTARA),3.137274,101.620646,rapidbus_kl,,0.11991516255721303,9804.263671875,9.190674629842052
1000297,(M) PJ208 BHP DAMANSARA UTAMA,3.1381528557811,101.62287967808,rapidbus_kl,,0.38485973306235755,9804.263671875,9.190674629842052
1002389,PJ383 PELANGI ASTANA,3.153593,101.603289,rapidbus_kl,,0.044922774734886255,7033.36083984375,8.858562111098847
1003240,PJ384 SHELL SUNWAY DAMANSARA,3.149862,101.600192,rapidbus_kl,,0.5276462533918486,7033.36083984375,8.858562111098847
1007091,PJ387 MRT SURIAN,3.149407,101.593449,rapidbus_kl,,0.4611996445520861,5294.16943359375,8.574550256313689
1000462,PJ388 CASA INDAH,3.149751,101.586405,rapidbus_kl,,0.4450246569796798,8119.3076171875,9.002123316328234
1007070,PJ395 MRT KOTA DAMANSARA,3.15011,101.578551,rapidbus_kl,,0.410859992300424,8666.55859375,9.067342437703621
1001047,PJ354 GUGUSAN SEROJA,3.153494,101.577674,rapidbus_kl,,0.039179956254735714,8666.55859375,9.067342437703621
1000789,PJ102 PANGSAPURI TERATAI,3.155115,101.577404,rapidbus_kl,,0.16206722886534028,8666.55859375,9.067342437703621
1000700,PJ103 PANGSAPURI TANJUNG,3.155381,101.575613,rapidbus_kl,,0.31349322787567696,8666.55859375,9.067342437703621
1000254,PJ104 PANGSAPURI CEMPAKA 6,3.156663,101.574355,rapidbus_kl,,0.5111178592231728,8666.55859375,9.067342437703621
1002759,PJ105 PANGSAPURI CEMPAKA 1,3.158097,101.574211,rapidbus_kl,,0.6047584879550848,8410.0517578125,9.037301805529582
1007063,SMK SEKSYEN 10 KD (OPP),3.169991,101.578117,rapidbus_kl,,0.05233562067775569,6090.9580078125,8.714724820986126
1002299,PJ70 KOMERSIAL NURI 7A,3.172511,101.576523,rapidbus_kl,,0.27955481901936935,6090.9580078125,8.714724820986126
1001277,PJ71 PANGSAPURI KASIA (OPP),3.170344,101.575523,rapidbus_kl,,0.2658358257560936,6090.9580078125,8.714724820986126
