date,adm_level,adm_id,PCODE,n_pixels,rainfall_mm,rainfall_avg_mm,acc_1mo_mm,acc_1mo_avg_mm,acc_3mo_mm,acc_3mo_avg_mm,anomaly_rf,anomaly_1mo,anomaly_3mo,state_pcode
2019-02-21,1,1904,MY15,416,3.2884614,39.646553,76.41346,117.69022,1263.8821,1286.3788,18.564617,66.356926,98.25793,MY15
2019-02-21,1,1903,MY17,254,12.503937,48.08819,147.50787,151.24396,598.7914,647.5955,32.97143,97.60882,92.52154,MY17
2019-03-01,1,1891,MY01,622,14.517685,53.97701,66.50964,122.97851,400.90192,684.9671,33.09372,55.87629,58.82917,MY01
2019-03-01,1,1892,MY02,290,5.324138,48.941265,58.08276,117.05759,339.89996,356.88794,19.139593,51.68278,95.30573,MY02
2019-03-01,1,1893,MY03,485,8.272165,48.551823,79.107216,124.73492,761.1299,771.5654,24.78378,64.83005,98.65619,MY03
2019-03-01,1,1894,MY04,9,30.444445,64.35555,146.66667,182.47408,519.55554,625.4667,51.105415,80.90008,83.20115,MY04
2019-03-01,1,37336,MY05,5,19.8,33.64,35.8,106.566666,359.19998,596.34,64.18219,36.570065,60.56473,MY05
2019-03-01,1,1895,MY06,53,18.660378,44.93962,72.528305,112.9434,247.71698,398.29245,47.377968,65.73349,62.663452,MY06
2019-03-01,1,1896,MY07,217,19.539171,48.582336,76.70046,115.48264,316.12445,488.34116,45.797127,67.81098,65.09176,MY07
2019-03-01,1,1897,MY08,1182,11.6624365,48.703724,79.25127,117.113365,482.0381,752.314,31.026596,68.9943,64.31125,MY08
2019-03-01,1,1898,MY09,672,18.361607,63.67862,95.627975,158.18858,543.98364,583.31946,34.01584,61.66361,93.313866,MY09
2019-03-01,1,1899,MY10,42,7.6190476,35.734127,29.95238,73.57143,197.07141,209.00952,30.979055,44.484844,94.42169,MY10
2019-03-01,1,1900,MY11,31,7.7419353,53.53871,76.12903,138.42688,352.7097,378.05267,21.766684,56.56473,93.38394,MY11
2019-03-01,1,1901,MY12,2407,29.315746,65.63948,60.479435,208.3874,562.4437,771.5111,48.578705,30.685705,73.07606,MY12
2019-03-01,1,1902,MY13,4031,66.55792,97.78273,264.13123,294.97433,936.73206,1076.7216,69.62057,89.71809,87.05864,MY13
2019-03-01,1,1904,MY15,416,8.036057,43.607533,65.04086,126.89776,957.5985,1052.0726,26.819006,53.102386,91.06267,MY15
2019-03-01,1,1903,MY17,254,24.165354,57.666534,109.75984,157.60289,530.6102,607.46655,46.540554,70.57675,87.45135,MY17
2019-03-11,1,1891,MY01,622,13.011254,54.053535,30.381031,139.31355,320.86014,630.8956,30.499872,24.516777,51.24428,MY01
2019-03-11,1,1892,MY02,290,7.7172413,56.3977,20.417242,135.48758,255.77585,353.0283,20.712894,18.092163,72.83666,MY02
2019-03-11,1,1893,MY03,485,8.006186,54.274982,20.997938,139.73753,421.95667,646.1622,21.942116,17.962126,65.568405,MY03
2019-03-11,1,1894,MY04,9,23.11111,67.422226,74.66667,189.25555,444.88892,616.1222,38.815586,41.011272,72.43163,MY04
2019-03-11,1,37336,MY05,5,3.8,35.36,26.8,99.04,329.19998,534.4267,21.803766,30.565166,61.95466,MY05
2019-03-11,1,1895,MY06,53,18.0,49.16604,39.622643,128.2371,202.45282,380.57422,42.46203,33.491154,53.803604,MY06
2019-03-11,1,1896,MY07,217,21.142857,49.962673,45.248848,131.41858,258.2304,451.41953,47.564747,36.834316,57.672905,MY07
2019-03-11,1,1897,MY08,1182,14.542301,48.266552,30.013536,129.7555,322.58463,642.1228,36.68775,25.983011,50.62171,MY08
2019-03-11,1,1898,MY09,672,19.638393,69.668205,47.072918,177.18417,418.10416,560.41534,32.997166,28.58257,74.83068,MY09
2019-03-11,1,1899,MY10,42,3.142857,42.246826,14.380953,95.80873,138.5238,214.32777,17.234716,19.225471,65.43804,MY10
2019-03-11,1,1900,MY11,31,18.67742,57.896774,41.129032,147.57419,311.00003,387.5957,37.644886,30.233837,80.48994,MY11
2019-03-11,1,1901,MY12,2407,29.32281,70.492424,67.67595,195.7781,538.8911,744.22485,45.465233,36.19715,72.59384,MY12
2019-03-11,1,1902,MY13,4031,53.634583,107.51873,178.96849,291.06268,885.4612,1069.3025,52.11095,62.13836,82.88738,MY13
2019-03-11,1,1904,MY15,416,4.795673,46.1887,16.120192,129.44278,539.3317,824.02405,19.136398,15.709429,65.65934,MY15
2019-03-11,1,1903,MY17,254,21.059055,62.30643,57.728344,168.06116,435.6063,582.8126,38.717037,36.246346,74.95693,MY17
2019-03-21,1,1891,MY01,622,78.95499,71.5336,106.483925,179.56415,317.56592,572.9046,109.6969,60.40389,55.816467,MY01
2019-03-21,1,1892,MY02,290,52.013794,108.64667,65.055176,213.98563,255.80344,406.5963,50.16759,31.990763,63.36389,MY02
2019-03-21,1,1893,MY03,485,39.303093,87.73223,55.581444,190.55904,392.75256,556.5588,47.775288,30.978596,70.830086,MY03
2019-03-21,1,1894,MY04,9,80.77778,105.022224,134.33334,236.8,443.55557,628.36664,77.96405,57.623386,70.82084,MY04
2019-03-21,1,37336,MY05,5,35.0,51.226665,58.6,120.22667,248.8,468.62,71.140625,50.787903,53.587265,MY05
2019-03-21,1,1895,MY06,53,66.69811,67.32013,103.35849,161.42578,222.8302,374.49875,99.13991,65.1092,60.034508,MY06
2019-03-21,1,1896,MY07,217,60.308754,71.83978,100.99078,170.3848,246.97235,424.8731,84.993416,60.43328,58.615517,MY07
2019-03-21,1,1897,MY08,1182,48.40863,70.36802,74.61337,167.3383,292.70303,542.7222,70.863785,46.195984,54.35292,MY08
2019-03-21,1,1898,MY09,672,55.888393,110.57857,93.8884,243.9254,397.04016,571.7998,52.681385,39.726116,69.70186,MY09
2019-03-21,1,1899,MY10,42,59.142857,87.269844,69.90476,165.2508,162.07144,271.18332,69.516594,43.99672,60.49295,MY10
2019-03-21,1,1900,MY11,31,66.58064,103.42258,93.0,214.85806,336.5161,445.69034,66.02005,44.57421,75.77622,MY11
2019-03-21,1,1901,MY12,2407,45.19111,88.658165,103.829666,224.79007,438.5089,726.3195,53.589676,47.360474,60.645027,MY12
2019-03-21,1,1902,MY13,4031,87.55346,128.29604,207.74597,333.5975,864.95734,1046.0111,69.43452,62.83152,82.77337,MY13
2019-03-21,1,1904,MY15,416,33.02404,73.352486,45.85577,163.14871,433.95193,634.8876,48.529465,30.24452,68.59829,MY15
2019-03-21,1,1903,MY17,254,73.862206,94.027954,119.08662,214.00092,423.72046,577.2629,79.63631,56.660316,73.63005,MY17
2019-04-01,1,1891,MY01,622,50.26849,63.43151,142.23473,189.01865,346.81674,536.08954,80.76468,75.886894,65.02006,MY01
2019-04-01,1,1892,MY02,290,73.606895,75.855286,133.33792,240.89966,233.46207,445.63644,97.21924,56.257874,52.91673,MY02
2019-04-01,1,1893,MY03,485,28.441236,50.8367,75.75052,192.84392,232.95876,499.6426,59.891148,40.815266,47.153915,MY03
2019-04-01,1,1894,MY04,9,104.0,87.91482,207.88889,260.35925,516.2222,642.36664,117.31175,80.22667,80.51422,MY04
2019-04-01,1,37336,MY05,5,43.0,66.7,81.8,153.28667,259.6,453.98666,66.94561,54.837215,57.648735,MY05
2019-04-01,1,1895,MY06,53,44.037735,61.374844,128.73584,177.86101,253.09435,393.5824,73.88,73.13524,64.753075,MY06
2019-04-01,1,1896,MY07,217,64.36866,63.320583,145.82028,185.12305,294.22116,430.25653,101.53406,79.32772,68.74593,MY07
2019-04-01,1,1897,MY08,1182,47.46616,56.97307,110.41709,175.60764,296.35107,495.92435,84.659615,63.90488,60.158997,MY08
2019-04-01,1,1898,MY09,672,85.04315,84.50119,160.56995,264.74796,381.564,585.79236,100.60554,61.379498,65.43144,MY09
2019-04-01,1,1899,MY10,42,38.857143,61.23254,101.14285,190.7492,148.80952,308.39523,66.21691,54.2239,49.07845,MY10
2019-04-01,1,1900,MY11,31,69.67742,76.80968,154.93549,238.12903,336.16125,481.66345,91.28189,65.78214,70.10209,MY11
2019-04-01,1,1901,MY12,2407,31.130453,59.38622,105.64437,218.5368,412.85333,690.4913,56.115204,49.49716,60.080315,MY12
2019-04-01,1,1902,MY13,4031,55.782932,105.04043,196.97098,340.8552,823.88544,1018.0032,55.23691,58.397556,81.02472,MY13
2019-04-01,1,1904,MY15,416,31.733173,38.73838,69.55289,158.27957,316.28845,520.56537,83.98384,45.659653,61.131966,MY15
2019-04-01,1,1903,MY17,254,90.125984,80.4815,185.04724,236.81589,472.36612,580.71826,111.28254,78.59171,81.50098,MY17
2019-04-11,1,1891,MY01,622,59.31672,63.119667,188.54019,198.08478,308.56592,516.36566,94.41726,95.3002,60.143185,MY01
2019-04-11,1,1892,MY02,290,51.18276,82.64724,176.80345,267.1492,274.99655,499.19357,64.101,66.80286,55.53354,MY02
2019-04-11,1,1893,MY03,485,30.517527,51.60048,98.261856,190.16942,207.04124,480.21683,62.75128,52.908833,43.700306,MY03
2019-04-11,1,1894,MY04,9,54.444443,83.54074,239.22221,276.47778,503.22223,663.1333,67.137955,86.7643,76.065994,MY04
2019-04-11,1,37336,MY05,5,63.6,72.52,141.6,190.44667,294.6,451.48,88.49329,75.007675,65.63267,MY05
2019-04-11,1,1895,MY06,53,48.35849,57.52956,159.09433,186.22453,273.11322,415.90503,85.33322,85.812386,66.07505,MY06
2019-04-11,1,1896,MY07,217,53.1106,60.333027,177.78801,195.4934,306.55298,443.6831,88.94521,91.1691,69.4372,MY07
2019-04-11,1,1897,MY08,1182,39.77665,53.17992,135.65143,180.52101,262.48306,469.57498,76.96237,75.814285,56.36265,MY08
2019-04-11,1,1898,MY09,672,55.495537,79.67842,196.4271,274.75818,394.63394,610.0797,71.4415,72.000435,64.9727,MY09
2019-04-11,1,1899,MY10,42,44.714287,67.274605,142.7143,215.77698,184.69049,360.0659,68.78527,66.90656,51.960617,MY10
2019-04-11,1,1900,MY11,31,43.80645,76.553764,180.06451,256.786,353.35483,527.85376,59.845734,70.693054,67.25201,MY11
2019-04-11,1,1901,MY12,2407,25.319485,64.69916,101.64105,212.74355,379.00583,664.3848,43.500504,48.97553,57.366974,MY12
2019-04-11,1,1902,MY13,4031,120.88787,98.841194,264.22427,332.17767,839.68475,989.9045,121.23115,79.84641,84.901085,MY13
2019-04-11,1,1904,MY15,416,22.442308,37.471153,87.199524,149.56203,198.23798,457.70816,64.61399,59.65212,43.923576,MY15
2019-04-11,1,1903,MY17,254,55.062992,75.44948,219.05118,249.95892,459.92517,593.25024,74.65927,87.877365,77.714165,MY17
2019-04-21,1,1891,MY01,622,70.21061,74.879364,179.7958,201.43054,343.63666,497.91168,94.15524,89.51961,69.32364,MY01
2019-04-21,1,1892,MY02,290,69.63448,94.02793,194.42413,252.53046,338.0793,558.00446,75.3671,77.43711,60.937233,MY02
2019-04-21,1,1893,MY03,485,36.261856,60.419037,95.22062,162.85622,231.60826,457.2597,63.073166,59.70623,51.18514,MY03
2019-04-21,1,1894,MY04,9,99.22222,101.5963,257.66666,273.05185,556.2222,688.7,97.77283,94.46679,80.902725,MY04
2019-04-21,1,37336,MY05,5,100.6,75.62,207.2,214.84,293.6,455.47333,130.98486,96.52474,64.84632,MY05
2019-04-21,1,1895,MY06,53,53.11321,74.038994,145.50943,192.94339,311.0,454.0371,73.524734,76.036606,68.83975,MY06
2019-04-21,1,1896,MY07,217,58.42857,75.1808,175.90784,198.83441,344.40088,472.70444,79.106926,88.75235,73.14165,MY07
2019-04-21,1,1897,MY08,1182,61.16159,66.1976,148.4044,176.35059,301.14383,456.48346,92.92671,84.58997,66.33907,MY08
2019-04-21,1,1898,MY09,672,79.11012,94.073265,219.64882,258.25287,443.38544,636.07477,84.89689,85.335754,69.942764,MY09
2019-04-21,1,1899,MY10,42,58.11905,78.930954,141.69048,207.4381,240.2381,422.12143,75.20354,69.05093,57.41648,MY10
2019-04-21,1,1900,MY11,31,61.741936,89.59785,175.2258,242.96129,392.9355,575.4387,70.55333,72.68304,68.55771,MY11
